**COMMON**,,
20046,"SSO Identity Provider '{0}' not found",SSO Identity Provider is absent in database
20047,Metadata URL or XML have to be specified separately,Please enter only URL or XML
20048,Metadata loading/parsing error,Metadata cannot be loaded or parsed without an error. Please check URL or XML
20049,IdP and account do not match,"You're trying to access IdP, which is not belongs to current account"
20050,Domain does not exist or is not active,Please activate domain
20051,"SSO Identity Provider not found for domain '{0}'",SSO Identity Provider not found for the domain. Please set an IdP
20052,"SSO Identity Provider '{0}' is in use for domain and cannot be deleted",Please un-assign IdP. SSO Identity Provider is in use for the domain and cannot be deleted
20053,"SSO Identity Provider '{0}' has to be unique in the system",Please check metadata. SSO Identity Provider has to be unique in the system
20054,Street name must be between 1 and 200 chars long,Street name should be between 1 and 200 chars long
20055,City name must be between 1 and 200 chars long,City name should be between 1 and 200 chars long
20056,Region name must be between 1 and 200 chars long,Region name should be between 1 and 200 chars long
20057,Country name must be between 1 and 100 chars long,Country name should be between 1 and 100 chars long
20058,Zip code must be between 1 and 10 chars long,Zip code should be between 1 and 10 chars long
20059,Formatted address must be between 1 and 300 chars long,Formatted address should be between 1 and 300 chars long
20060,Account billing address not found,"Account billing address not found, please create new one"
**MAILBOX**,,
30001,Mailbox {0} not found,Entered mailbox could not be found in the system
30002,Mailbox {0} deleted,Mailbox has been deleted. Please use active mailbox.
30003,Mailbox name cannot be empty,Mailbox name should not be empty. It should contain at least 1 symbol
30004,Mailbox name length exceeded maximum size,"Mailbox name length couldn't be more than 256 symbols"
30005,Mailbox alias cannot be empty,Mailbox alias name should not be empty. It should contain at least 3 symbols
30006,Mailbox alias length exceeded maximum size,"Mailbox alias name length couldn't be more than 256 symbols"
30007,Alias not found or attached to another mailbox,Alias you have tried to delete was not found or attached to another mailbox
30008,Category {0} not found,"Category with UUID you entered doesn't exist or was not found"
30010,Category {0} not found,"Category with UUID you entered doesn't exist or was not found"
30011,Invalid parentId value,ID of parent category is not valid
30012,Alias already exists,Alias with entered name is exist
30013,Empty category ID,Category ID is empty in request. Please enter required parameter
30014,Cannot change category access to official,"It's impossible to change category access to official. Official categories may be created only by the system user."
30015,Category already exists,Category with entered UUID exists
30016,"Mailbox {0} doesn't belong to the account",Mailbox does not belong to this account. Please check your request and ensure that a mailbox you want to invite belongs to the account
30017,Mailbox {0} has no other owners,Mailbox does not have another owner and cannot be left
30018,Sender mailbox not found,"Mailbox UUID of Sender was not found, please check correctness of request"
30019,Mailbox UUID is empty,Mailbox UUID should not be empty
30020,Mailbox UUID is invalid or empty,Mailbox UUID is invalid or empty. Please send valid request with valid Mailbox UUID
30021,Email is forbidden for alias name,Please do not use emails as an alias name to avoid misunderstandings
**TEMPLATE**,,
40001,Document {0} not found,Document with entered UUID was not found. Please check correctness of the entered UUID
40002,Template {0} is archived,Template with entered UUID is archived. You cannot use archived templates.
